user,URL,has_finish,repos,stars
Kasumisty,https://github.com/Kasumisty,1,16,85
whuFSN,https://github.com/whuFSN,1,10,123
Visonew,https://github.com/Visonew,1,17,34
Hanlard,https://github.com/Hanlard,1,49,521
DanqingZ,https://github.com/DanqingZ,1,6,492
MaoZiming,https://github.com/MaoZiming,1,273,149
songjuncao,https://github.com/songjuncao,1,3,138
cccntu,https://github.com/cccntu,1,41,442
BrightXiaoHan,https://github.com/BrightXiaoHan,1,49,857
muhamiyan,https://github.com/muhamiyan,1,1,242
KonstantinKlepikov,https://github.com/KonstantinKlepikov,1,752,851
shankarsivarajan,https://github.com/shankarsivarajan,1,16,1100
shijieyao,https://github.com/shijieyao,1,6,513
LihaoR,https://github.com/LihaoR,1,17,33
leonodelee,https://github.com/leonodelee,1,31,286
Wsine,https://github.com/Wsine,1,40,345
YingtongDou,https://github.com/YingtongDou,1,26,131
ambyerhan,https://github.com/ambyerhan,1,17,97
AndrejHafner,https://github.com/AndrejHafner,1,23,307
JECULAI,https://github.com/JECULAI,1,19,102
valgaze,https://github.com/valgaze,1,293,308
asterbini,https://github.com/asterbini,1,18,30
famasya,https://github.com/famasya,1,41,172
StephanieWyt,https://github.com/StephanieWyt,1,3,78
szwss051,https://github.com/szwss051,1,7,67
VHRanger,https://github.com/VHRanger,1,47,347
fyabc,https://github.com/fyabc,1,16,150
Natkeeran,https://github.com/Natkeeran,1,73,146
BouweCeunen,https://github.com/BouweCeunen,1,25,508
texttheater,https://github.com/texttheater,1,66,126
NoUnique,https://github.com/NoUnique,1,29,483
xwy27,https://github.com/xwy27,1,39,152
tomohiroliu22,https://github.com/tomohiroliu22,1,6,225
Manikant92,https://github.com/Manikant92,1,922,2300
duterscmy,https://github.com/duterscmy,1,8,129
luquitared,https://github.com/luquitared,1,4,528
SSLL3300,https://github.com/SSLL3300,1,0,159
zeusAlgo,https://github.com/zeusAlgo,1,0,2100
zml24,https://github.com/zml24,1,5,120
gazay,https://github.com/gazay,1,162,2000
HariWu1995,https://github.com/HariWu1995,1,24,522
leomaurodesenv,https://github.com/leomaurodesenv,1,59,301
plvnts,https://github.com/plvnts,1,12,30
HarleyAppleChoi,https://github.com/HarleyAppleChoi,1,16,66
Traviskn,https://github.com/Traviskn,1,28,928
mrzhang11,https://github.com/mrzhang11,1,2,139
YusongLeng,https://github.com/YusongLeng,1,2,52
NE-SmallTown,https://github.com/NE-SmallTown,1,68,2900
hischen,https://github.com/hischen,1,80,162
zhhao-cn,https://github.com/zhhao-cn,1,25,81
fake-warrior8,https://github.com/fake-warrior8,1,7,76
MikeLidbary,https://github.com/MikeLidbary,1,35,43
divyamani1,https://github.com/divyamani1,1,16,226
granaina,https://github.com/granaina,1,0,47
Alegzandra,https://github.com/Alegzandra,1,30,88
DEROOCE,https://github.com/DEROOCE,1,3,177
mczhuge,https://github.com/mczhuge,1,18,415
vigneshmanikandan97,https://github.com/vigneshmanikandan97,1,9,61
sherlock1987,https://github.com/sherlock1987,1,35,112
Jeremyzzzz,https://github.com/Jeremyzzzz,1,22,46
SeunghyunSEO,https://github.com/SeunghyunSEO,1,156,309
luocheng812,https://github.com/luocheng812,1,1,136
eix128,https://github.com/eix128,1,25,1400
cshanbo,https://github.com/cshanbo,1,30,121
zhyan-NLP,https://github.com/zhyan-NLP,1,1,64
EXphinx,https://github.com/EXphinx,1,9,390
zwhe99,https://github.com/zwhe99,1,16,155
tamarakatic,https://github.com/tamarakatic,1,29,139
ductri,https://github.com/ductri,1,64,125
pasquini-dario,https://github.com/pasquini-dario,1,6,40
dosonleung,https://github.com/dosonleung,1,8,62
heibaicai,https://github.com/heibaicai,1,6,213
williammulianto,https://github.com/williammulianto,1,7,116
Schlampig,https://github.com/Schlampig,1,13,593
zkonge,https://github.com/zkonge,1,29,843
UnderSam,https://github.com/UnderSam,1,43,80
yobcmst,https://github.com/yobcmst,1,77,1800
hitalex,https://github.com/hitalex,1,82,399
zmskye,https://github.com/zmskye,1,201,227
Darlene-W,https://github.com/Darlene-W,1,7,56
juleskuehn,https://github.com/juleskuehn,1,16,284
akbargherbal,https://github.com/akbargherbal,1,31,30
lisasiyu,https://github.com/lisasiyu,1,5,94
pratiksinghchauhan,https://github.com/pratiksinghchauhan,1,33,75
weichennone,https://github.com/weichennone,1,16,86
Ina299,https://github.com/Ina299,1,81,464
adrian9631,https://github.com/adrian9631,1,5,254
superbbbbbike,https://github.com/superbbbbbike,1,0,35
ahmedbr,https://github.com/ahmedbr,1,11,539
xiaozuizi,https://github.com/xiaozuizi,1,3,59
metrofoil,https://github.com/metrofoil,1,1,46
miroozyx,https://github.com/miroozyx,1,5,163
zzachw,https://github.com/zzachw,1,10,181
bayethiernodiop,https://github.com/bayethiernodiop,1,67,421
kleeeeea,https://github.com/kleeeeea,1,198,340
MaximDmitrievich,https://github.com/MaximDmitrievich,1,39,72
NUM-GITHUB,https://github.com/NUM-GITHUB,1,5,78
NiuJ1ao,https://github.com/NiuJ1ao,1,18,39
cluesblues,https://github.com/cluesblues,1,348,692
mandee13,https://github.com/mandee13,1,2,174
jinmang2,https://github.com/jinmang2,1,72,1000
nayash,https://github.com/nayash,1,46,86
milmin,https://github.com/milmin,1,0,40
yzhangcs,https://github.com/yzhangcs,1,18,693
hnlp1993,https://github.com/hnlp1993,1,3,106
kimdanny,https://github.com/kimdanny,1,46,283
LowinLi,https://github.com/LowinLi,1,29,116
LuisBlanche,https://github.com/LuisBlanche,1,18,282
lookatmeimdanny,https://github.com/lookatmeimdanny,1,6,331
davidlorenzana,https://github.com/davidlorenzana,1,2,225
Jiahuan-Pei,https://github.com/Jiahuan-Pei,1,21,235
glorelvalle,https://github.com/glorelvalle,1,7,53
ndinhtuan,https://github.com/ndinhtuan,1,103,268
lzl7,https://github.com/lzl7,1,7,38
rollin505,https://github.com/rollin505,1,13,879
GanjinZero,https://github.com/GanjinZero,1,29,990
dv-fenix,https://github.com/dv-fenix,1,23,82
WangDeyao,https://github.com/WangDeyao,1,11,293
sgallon-rin,https://github.com/sgallon-rin,1,15,62
RahulSajnani,https://github.com/RahulSajnani,1,38,102
riyadhuddin,https://github.com/riyadhuddin,1,64,389
onuf,https://github.com/onuf,1,7,102
Norod,https://github.com/Norod,1,28,2400
vertexi,https://github.com/vertexi,1,27,474
nroldanf,https://github.com/nroldanf,1,43,652
xixizy,https://github.com/xixizy,1,4,583
ymgw55,https://github.com/ymgw55,1,12,53
sahutkarsh,https://github.com/sahutkarsh,1,13,61
orientedlin,https://github.com/orientedlin,1,5,109
Jacinthegeng,https://github.com/Jacinthegeng,1,8,400
jchang98,https://github.com/jchang98,1,1,70
L-Zhe,https://github.com/L-Zhe,1,9,89
